LEAID,NAME,STATE_STATECODE
2930450,TROY R-III,MO
2930510,MILLER CO. R-III,MO
2930520,TWIN RIVERS R-X,MO
2930570,UNION R-XI,MO
2930600,UNION STAR R-II,MO
2930660,UNIVERSITY CITY,MO
2930690,VALLEY PARK,MO
2930720,VALLEY R-VI,MO
2930750,VAN BUREN R-I,MO
2930780,VAN-FAR R-I,MO
2930810,VERONA R-VII,MO
2930840,MORGAN CO. R-II,MO
2930870,MARIES CO. R-I,MO
2930900,WEST NODAWAY CO. R-I,MO
1903270,Albia Comm School District,IA
2930990,WALNUT GROVE R-V,MO
1903300,Alburnett Comm School District,IA
2931020,WARRENSBURG R-VI,MO
1903360,Algona Comm School District,IA
2931050,WARREN CO. R-III,MO
1903390,Allamakee Comm School District,IA
2931070,WARSAW R-IX,MO
1903450,North Butler Comm School District,IA
3409630,Manville Board of Education,NJ
2931110,WASHINGTON,MO
1903480,Alta-Aurelia Comm School District,IA
2931140,KINGSTON K-14,MO
3409660,Maple Shade School District,NJ
1903540,Ames Comm School District,IA
2931230,RICHWOODS R-VII,MO
3409690,Margate City School District,NJ
2931440,WAYNESVILLE R-VI,MO
1903570,Anamosa Comm School District,IA
2931460,WEAUBLEAU R-III,MO
3409720,Marlboro Township School District,NJ
1903630,Andrew Comm School District,IA
2931500,WEBB CITY R-VII,MO
3409750,Matawan-Aberdeen Regional School District,NJ
2931530,WEBSTER GROVES,MO
1903690,Ankeny Comm School District,IA
3409780,Maurice River Township School District,NJ
2931560,WELLINGTON-NAPOLEON R-IX,MO
1903750,Aplington-Parkersburg Comm School District,IA
3409810,Maywood School District,NJ
2931620,WELLSVILLE MIDDLETOWN R-I,MO
1903780,Ar-We-Va Comm School District,IA
2931650,WENTZVILLE R-IV,MO
3409840,Medford Lakes School District,NJ
1903850,North Union Comm School District,IA
2931680,WEST PLAINS R-VII,MO
3409870,Medford Township School District,NJ
2931710,WEST PLATTE CO. R-II,MO
1903930,Atlantic Comm School District,IA
3409900,Mendham Borough School District,NJ
2931800,MIDWAY R-I,MO
1903960,Audubon Comm School District,IA
2931830,OSAGE CO. R-III,MO
3409930,Mendham Township School District,NJ
4200749,Evergreen Community CS,PA
2931860,WESTRAN R-I,MO
1904020,Aurelia Comm School District,IA
3409950,Area Vocational Technical Schools of Mercer County,NJ
2931890,WESTVIEW C-6,MO
1904080,AHSTW Comm School District,IA
4624030,Faulkton Area Schools 24-4,SD
2931920,WHEATLAND R-II,MO
4200750,Philadelphia AVTS,PA
3409960,Merchantville School District,NJ
2931950,WHEATON R-III,MO
1904200,Ballard Comm School District,IA
3409990,Metuchen Public School District,NJ
4200751,City of Erie Regional Career & Technical School,PA
2932010,WILLARD R-II,MO
4624390,Flandreau School District 50-3,SD
1904320,Battle Creek-Ida Grove Comm School District,IA
4200752,Propel CS-Montour,PA
2932070,WILLOW SPRINGS R-IV,MO
3410020,Middle Township Public School District,NJ
2932100,WINDSOR C-1,MO
1904380,Baxter Comm School District,IA
4200753,Widener Partnership CS,PA
3410050,Middlesex Borough School District,NJ
4624540,Florence School District 14-1,SD
2932110,HENRY CO. R-I,MO
4200754,Pittsburgh AVTS,PA
1904440,BCLUW Comm School District,IA
2932190,WINFIELD R-IV,MO
3410080,Middlesex County Vocational and Technical School District,NJ
4200755,Millersville University of PA,PA
2932220,WINONA R-III,MO
1904560,Bedford Comm School District,IA
4624850,Stanley County School District 57-1,SD
3410110,MIDDLETOWN TOWNSHIP PUBLIC SCHOOL DISTRICT,NJ
2932250,WINSTON R-VI,MO
4200758,Southwest Leadership Academy CS,PA
1904620,Belle Plaine Comm School District,IA
2932300,WORTH CO. R-III,MO
3410140,Midland Park School District,NJ
4200760,Boys Latin of Philadelphia CS,PA
4625500,Freeman School District 33-1,SD
1904650,Bellevue Comm School District,IA
2932310,WRIGHT CITY R-II OF WARREN CO.,MO
